year,state,smoking,disability_65,self_rated_health,drinking,leisure_phys_act,overweight,poverty,diabetes,sleep,mental_health
2016,TN,22.1,38.3,20.4,5.6,28.4,68.6,15.8,12.7,61.2,4.4
2016,TX,14.3,38.7,18.3,6.9,25.2,68.4,15.6,11.2,65.2,3.4
2016,UT,8.8,34,11.7,4.8,15.7,60.4,10.2,7.2,67.1,3.7
2016,VA,15.3,32.6,16.3,6.3,23.3,65.5,11,10.4,61.6,3.4
2016,VI,6.6,NA,20.3,5.4,26.1,65.2,NA,12.7,56.2,2.8
2016,VT,17,31.1,13.5,9.1,19.5,61.7,11.9,8.4,67.7,3.9
2016,WA,13.9,35.7,14.4,7,17.6,63.5,11.3,9.4,66.1,3.7
2016,WI,17.1,31.8,16,8.9,20,66.2,11.8,9.8,65.6,3.7
2016,WV,24.8,42.9,26.3,3.5,28.5,70.9,17.9,15,59,5
2016,WY,18.9,37.9,15.7,5.9,23.1,64.2,11.3,8.3,67.7,3.6
